Name,Manuf,Type,Calories,Protein,Fat,Sodium,Fiber,Carbo,Sugars,Potass,Vitamins,Shelf,Weight,Cups,Rating,Cold,Nabisco,Quaker,Kelloggs,GeneralMills,Ralston,AHFP
100%_Natural_Bran ,Q ,C ,120,3,5,15,2,8,8,135,0,3,1,1,33.983679,1,0,1,0,0,0,0
Almond_Delight ,R ,C ,110,2,2,200,1,14,8,,25,3,1,0.75,34.384843,1,0,0,0,0,1,0
Bran_Chex ,R ,C ,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253,1,0,0,0,0,1,0
Bran_Flakes ,P ,C ,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813,1,0,0,0,0,0,0
Cap'n'Crunch ,Q ,C ,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851,1,0,1,0,0,0,0
Corn_Chex ,R ,C ,110,2,0,280,0,22,3,25,25,1,1,1,41.445019,1,0,0,0,0,1,0
Double_Chex ,R ,C ,100,2,0,190,1,18,5,80,25,3,1,0.75,44.330856,1,0,0,0,0,1,0
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",P ,C ,120,3,2,160,5,12,10,200,25,3,1.25,0.67,40.917047,1,0,0,0,0,0,0
Fruity_Pebbles ,P ,C ,110,1,1,135,0,13,12,25,25,2,1,0.75,28.025765,1,0,0,0,0,0,0
Golden_Crisp ,P ,C ,100,2,0,45,0,11,15,40,25,1,1,0.88,35.252444,1,0,0,0,0,0,0
Grape_Nuts_Flakes ,P ,C ,100,3,1,140,3,15,5,85,25,3,1,0.88,52.076897,1,0,0,0,0,0,0
Grape-Nuts ,P ,C ,110,3,0,170,3,17,3,90,25,3,1,0.25,53.371007,1,0,0,0,0,0,0
Great_Grains_Pecan ,P ,C ,120,3,3,75,3,13,4,100,25,3,1,0.33,45.811716,1,0,0,0,0,0,0
Honey_Graham_Ohs ,Q ,C ,120,1,2,220,1,12,11,45,25,2,1,1,21.871292,1,0,1,0,0,0,0
Honey-comb ,P ,C ,110,1,0,180,0,14,11,35,25,1,1,1.33,28.742414,1,0,0,0,0,0,0
Life ,Q ,C ,100,4,2,150,2,12,6,95,25,2,1,0.67,45.328074,1,0,1,0,0,0,0
"Muesli_Raisins,_Dates,_&_Almonds ",R ,C ,150,4,3,95,3,16,11,170,25,3,1,1,37.136863,1,0,0,0,0,1,0
"Muesli_Raisins,_Peaches,_&_Pecans ",R ,C ,150,4,3,150,3,16,11,170,25,3,1,1,34.139765,1,0,0,0,0,1,0
Post_Nat._Raisin_Bran ,P ,C ,120,3,1,200,6,11,14,260,25,3,1.33,0.67,37.840594,1,0,0,0,0,0,0
Puffed_Rice ,Q ,C ,50,1,0,0,0,13,0,15,0,3,0.5,1,60.756112,1,0,1,0,0,0,0
Puffed_Wheat ,Q ,C ,50,2,0,0,1,10,0,50,0,3,0.5,1,63.005645,1,0,1,0,0,0,0
Quaker_Oat_Squares ,Q ,C ,100,4,1,135,2,14,6,110,25,3,1,0.5,49.511874,1,0,1,0,0,0,0
Quaker_Oatmeal ,Q ,H ,100,5,2,0,2.7,,,110,0,1,1,0.67,50.828392,0,0,1,0,0,0,0
Rice_Chex ,R ,C ,110,1,0,240,0,23,2,30,25,1,1,1.13,41.998933,1,0,0,0,0,1,0
Wheat_Chex ,R ,C ,100,3,1,230,3,17,3,115,25,1,1,0.67,49.787445,1,0,0,0,0,1,0
